﻿央视节目,#genre#
新华中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
纯享4K,http://112.50.243.4/PLTV/88888888/224/3221226825/1.m3u8
纯享4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
CCTV-1综合,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
CCTV-1综合,http://58.20.64.92:9901/tsfile/live/0001_1.m3u8
CCTV-1综合,http://125.210.152.18:9090/live/CCTV1HD_H265.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8
CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225587/index.m3u8
CCTV-2财经,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226230/1.m3u8
CCTV-2财经,http://58.20.64.92:9901/tsfile/live/0002_1.m3u8
CCTV-2财经,http://125.210.152.18:9090/live/CCTV2HD_H265.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3综艺,http://125.210.152.18:9090/live/CCTV3HD_H265.m3u8
CCTV-3综艺,http://58.20.64.92:9901/tsfile/live/0003_1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-4中文国际,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226314/1.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225590/index.m3u8
CCTV-5体育,http://125.210.152.18:9090/live/CCTV5HD_H265.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225711/index.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV-5+体育赛事,http://58.20.64.92:9901/tsfile/live/0016_1.m3u8
CCTV-5+体育赛事,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6电影,http://58.20.64.92:9901/tsfile/live/0006_1.m3u8
CCTV-6电影,http://125.210.152.18:9090/live/CCTV6HD_H265.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-7国防军事,http://58.20.64.92:9901/tsfile/live/0007_1.m3u8
CCTV-7国防军事,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8
CCTV-7国防军事,http://125.210.152.18:9090/live/CCTV7HD_H265.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7国防军事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8
CCTV-8电视剧,http://58.20.64.92:9901/tsfile/live/0008_1.m3u8
CCTV-8电视剧,http://125.210.152.18:9090/live/CCTV8HD_H265.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-9记录,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-9记录,http://58.20.64.92:9901/tsfile/live/0009_1.m3u8
CCTV-9记录,http://125.210.152.18:9090/live/CCTVJLHD_H265.m3u8
CCTV-9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
CCTV-9记录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-10科教,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8
CCTV-10科教,http://58.20.64.92:9901/tsfile/live/0010_1.m3u8
CCTV-10科教,http://125.210.152.18:9090/live/CCTV10HD_H265.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225596/index.m3u8
CCTV-11戏曲,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-11戏曲,http://58.20.64.92:9901/tsfile/live/0011_1.m3u8
CCTV-11戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12社会与法,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-12社会与法,http://58.20.64.92:9901/tsfile/live/0012_1.m3u8
CCTV-12社会与法,http://125.210.152.18:9090/live/CCTV12HD_H265.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225598/index.m3u8
